ID,electricity_consumption
0,204.23985781198567
1,204.84904120641076
2,204.38252442074773
3,204.82197320173836
4,204.28356435586838
5,251.48375907103375
6,283.20112052082266
7,264.84560923373033
8,232.4505773296297
9,240.84958581284818
10,231.3384573531176
11,229.70798962977113
12,236.83364830650834
13,234.5529133960881
14,234.75754675717857
15,237.66109567094927
16,223.2236770213571
17,223.79622475517525
18,210.06979370093134
19,210.44939925738188
20,210.4988291688447
21,210.54722620965674
22,209.77609471298663
23,211.6449202366367
24,207.65347503133097
25,248.22934433606187
26,274.41213408923943
27,308.06190171888323
28,310.7665283697103
29,244.28906925840639
30,245.44786108333636
31,254.75289011207002
32,239.41536250370245
33,235.73377677657
34,233.10201747953263
35,254.14498272142714
36,243.94599324667368
37,314.9753511101567
38,258.02819190875204
39,276.347375132345
40,254.5393292429504
41,255.0863910959056
42,264.5432402290273
43,338.52168735764377
44,329.6035297478836
45,328.1103600870366
46,329.12741872052567
47,299.84939316674803
48,301.7490420734921
49,426.0524607857313
50,349.0279687916452
51,345.1453082736004
52,367.3467705222667
53,354.4403998509279
54,433.68709159523837
55,373.80733402482963
56,315.21414890700976
57,439.20457158103096
58,324.17964760934706
59,412.74541235823614
60,341.7724500815681
61,340.157252416415
62,323.10745525539
63,319.8096654456646
64,319.0513539053238
65,337.5348547113231
66,353.48517814137915
67,330.3843844151506
68,349.24265978570946
69,327.48120847734486
70,376.722156515855
71,349.6473360261729
72,450.7148548761543
73,406.55578784921346
74,317.3190987913964
75,313.9660731557223
76,328.38901509357004
77,350.6216355347229
78,283.22766672921335
79,371.03843586014403
80,358.0105167672661
81,429.33019184757586
82,355.33560681023295
83,350.8637164444226
84,315.8190202225341
85,382.1545600146004
86,315.34349103709826
87,266.7557769472497
88,257.008974444502
89,245.1113614041789
90,248.04141226917397
91,236.62398102880718
92,233.10675207465863
93,212.12156854194984
94,210.38797154829402
95,209.36521557844418
96,207.9610989515179
97,206.20248346932433
98,206.7865181929961
99,205.64612024934138
100,204.436494471404
101,204.11176033437144
102,204.77625235055865
103,204.16908713954842
104,203.9339582801697
105,204.06872530219508
106,204.0390925331403
107,203.9776648240524
108,203.9776648240524
109,203.91669638046383
110,203.96578683110695
111,203.93141183110697
112,204.11387538907886
113,203.78548600060228
114,203.8729898365811
115,203.95748828459412
116,203.8729898365811
117,203.87746058166337
118,203.93842902525196
119,203.98213556913467
120,203.93842902525196
121,203.98882113396292
122,204.1235881559883
123,203.94511459008018
124,203.94511459008018
125,204.1802434494589
126,203.94511459008018
127,203.98882113396292
128,204.14403715264382
129,203.9655635867357
130,204.03709266312163
131,203.88862038355418
132,203.8542453835542
133,203.8542453835542
134,203.8542453835542
135,203.8542453835542
136,203.97612421953306
137,203.8542453835542
138,203.88862038355418
139,203.88862038355418
140,204.14611074136067
141,204.04843549648962
142,204.12687311770927
143,204.1067382281868
144,204.04843549648962
145,204.04843549648962
146,204.183202518515
147,204.24150525021219
148,317.8775992542194
149,309.778593014441
150,277.2380953548408
151,235.59071008479748
152,236.36482576017966
153,245.1697486812067
154,230.99651636768505
155,229.90317132095214
156,244.4297166352301
157,308.6542330710509
158,267.9997688996543
159,310.8236138805179
160,257.3194994706284
161,267.66639954753066
162,249.40320205203912
163,245.1626038029398
164,256.77584046601953
165,236.77024954627854
166,352.8980084627038
167,322.3750985935679
168,365.04975938644515
169,334.3328646909979
170,366.23677145581826
171,431.8577823428532
172,305.2630883876407
173,307.681200020628
174,275.75990304576294
175,271.0629446530775
176,246.2354022363917
177,240.3236722634698
178,234.89099293320174
179,233.67658388103314
180,210.54138146789094
181,209.93855665690032
182,207.1615164760966
183,206.26844622276815
184,205.77045884997992
185,205.01118794187852
186,204.35260346914833
187,205.01997995738543
188,203.93428872975798
189,203.9339582801697
190,203.9776648240524
191,204.0175898304439
192,203.95409316969213
193,203.9776648240524
194,204.44790148691808
195,203.9776648240524
196,204.16908713954842
197,204.15235685246927
198,204.14551548518816
199,204.20901214593994
200,204.07319604727735
201,203.93842902525196
202,204.04290625527014
203,203.98193781168158
204,203.98882113396292
205,203.91970127130017
206,203.87977626490868
207,203.9892803994622
208,203.860797851051
209,203.90459514314713
210,204.09918318032047
211,203.97612421953306
212,204.12022661751755
213,204.01983076341574
214,204.03709266312163
215,204.12022661751755
216,204.08079920700436
217,204.22532280279054
218,204.03709266312163
219,204.03709266312163
220,204.12022661751755
221,204.03709266312163
222,292.11448276435794
223,236.3375333092501
224,240.03133433515302
225,262.7932031825609
226,251.19636402639446
227,255.6050326724734
228,247.97156517633283
229,255.53103899442766
230,232.41793733523025
231,229.56611629027304
232,249.21440042510403
233,279.1103325524152
234,296.0650110833263
235,256.0426426458402
236,240.1301553461886
237,252.62272019709383
238,234.07920980900641
239,292.3895117923447
240,299.6859471270956
241,279.2834776490648
242,255.5454795666245
243,257.87629013793565
244,277.050066128132
245,257.80775255949493
246,239.34697172500105
247,233.34346214939433
248,230.53770578704106
249,228.52444311584316
250,232.49199524746535
251,232.29562261343136
252,210.5982650877642
253,209.51098743887823
254,208.33620811241335
255,206.83264732280372
256,205.70933179207455
257,206.95157814048756
258,205.0036242728328
259,206.08802556436035
260,268.83464016762036
261,255.46547893305032
262,271.38451654056485
263,285.854238288798
264,272.6389870542232
265,244.06122086439618
266,280.36569905799877
267,295.4030319865302
268,268.0633402716948
269,275.60345479952434
270,303.0950472691548
271,282.76181469126124
272,328.60320679972705
273,336.93592978025066
274,258.1357040338634
275,278.3876410843208
276,301.7648522630982
277,275.8966513853645
278,252.40989028349594
279,255.9214181860247
280,244.23731471708206
281,246.1313620247551
282,244.47143244303894
283,246.5632055325347
284,279.5072380946024
285,287.9755448248628
286,351.5881660970735
287,294.2466648655443
288,342.4313422358357
289,292.67402055069266
290,293.98968408623693
291,295.2409389433776
292,277.2268654482683
293,294.08205656537905
294,273.30945697817504
295,267.27749356261575
296,303.65509100991164
297,300.32110715414916
298,284.0544677829968
299,300.690694367149
300,269.3618155033519
301,257.17897831043456
302,256.98831546460906
303,257.89588984549334
304,259.9295097684725
305,260.29388440000014
306,274.1033892678063
307,256.0893654771026
308,311.9458284024178
309,287.8898306224076
310,314.9102020048289
311,271.058922477219
312,246.24136184237977
313,240.4425023408261
314,242.4240347702066
315,236.8114618991657
316,226.9560758433835
317,223.41295649408443
318,212.1475917384478
319,210.0418318369031
320,210.6065389757309
321,208.9251302914967
322,207.50278122142777
323,206.13733187928597
324,205.80844463010385
325,205.9314852355996
326,204.98989599591326
327,204.85294198069158
328,204.24104702483123
329,204.50000942096855
330,204.16331288456226
331,204.03772471996635
332,204.11243184607778
333,204.20901214593994
334,204.20901214593994
335,204.15235685246927
336,204.15235685246927
337,204.20901214593994
338,204.20901214593994
339,204.20901214593994
340,204.20901214593994
341,204.2360420829147
342,204.20901214593994
343,204.20901214593994
344,204.23432857076617
345,204.1776732772955
